product_id,product_name,product_description,category,subcategory,brand,price,rating_avg,review_count,stock_quantity,date_added
8826d916-cdfb-41c6-81ff-91a761565a70,The Elite Cipher - PlayStation 5 Edition,"Bring joy to playtime with the The Elite Cipher - PlayStation 5 Edition.

Key Features:
  - Easy to learn, with endless replay value.
  - Safe, non-toxic materials certified for children.
  - Encourages creative thinking and problem-solving skills.
  - STEM-focused learning through play.
  - Expandable with additional sets and accessories.

Winner of multiple toy awards.",Toys & Games,Video Games,Hasbro,12.93,,0,16,2024-09-04
2416da6e-c212-4ddb-8d88-00160eb686b2,KitchenAid Ultra-Soft Bedding,"Designed to make your home more beautiful and functional.

Key Features:
  - Stackable design for efficient storage.
  - Built to withstand daily use with durable construction.
  - Easy to clean and maintain for everyday use.
  - Versatile design complements any decor style.
  - Crafted from premium {material} for lasting quality.

Whether you are redecorating or just looking for that perfect finishing touch, this piece fits beautifully.

Backed by our satisfaction guarantee.",Home & Kitchen,Bedding,KitchenAid,31.65,2.0,1,12,2024-06-02
eb819333-b501-4c18-8c53-c786ed62c2f9,Mobil Premium Car Care,"The Mobil Premium Car Care delivers professional-grade results.

Key Features:
  - Quick-drying formula saves time.
  - Weather-resistant for year-round protection.
  - Compatible with all major vehicle makes and models.
  - UV-resistant formula prevents fading and cracking.
  - Professional-grade formula for superior results.
  - Long-lasting protection against the elements.

Additional Details:
  - Temperature range: {temp_range}
  - Application: {app_method}
  - Volume: {volume_ml}ml

Your vehicle deserves the best care.",Automotive,Car Care,Mobil,42.34,1.0,1,1,2024-03-26
71445abc-2f0d-4ac2-8097-acb7a3823bc9,Wilson Cycling - Navy,"Engineered for peak performance in any condition.

Key Features:
  - Lightweight design for effortless portability.
  - Adjustable features for customized fit.
  - Reinforced stress points for long-lasting durability.
  - Ergonomic design reduces fatigue during extended use.
  - Compression-molded for compact storage.

Trusted by athletes and adventurers worldwide.",Sports & Outdoors,Cycling,Wilson,37.73,4.5,2,1,2023-06-19
13d16283-160e-4c20-aebd-f9d6297e4c73,Samsung Prime Prime15,"Experience cutting-edge technology with the Samsung Prime Prime15.

Key Features:
  - Supports high-resolution audio for immersive sound.
  - Enhanced security features including biometric authentication.
  - Intuitive user interface with customizable settings.
  - Advanced cooling system for sustained performance.
  - Features a high-resolution display with vivid color accuracy.
  - Long-lasting battery designed for all-day productivity.

Designed with the modern user in mind, it combines powerful performance with an intuitive interface.

Perfect for professionals and enthusiasts alike.",Electronics,Smartphones,Samsung,123.44,3.5,2,2,2023-03-07
29101780-8b9e-4c5e-af92-bb2e667840ed,Nestle Certified Organic Organic Food,"Savor the rich flavors of the Nestle Certified Organic Organic Food.

Key Features:
  - Perfect for gifting or everyday indulgence.
  - Versatile ingredient for countless recipes.
  - No artificial preservatives or additives.
  - Rich, authentic flavor profile.
  - Expertly crafted using traditional methods.

A taste worth savoring.",Grocery & Gourmet,Organic Foods,Nestle,9.98,5.0,2,1,2025-11-05
06ce14c8-3158-44a4-b6a0-04674d81a0d2,Introduction to Deep Learning,"Discover the story behind Introduction to Deep Learning.

Key Features:
  - Comprehensive coverage of the subject matter.
  - Meticulously researched and expertly presented.
  - Thought-provoking themes that resonate long after reading.
  - Includes exclusive content and illustrations.
  - Award-winning author delivers another masterpiece.

Perfect for bedtime reading, book clubs, or casual enjoyment, this book offers something for everyone.

Additional Details:
  - Available in multiple formats for your reading preference.
  - A substantial read that delivers incredible value.
  - Critically acclaimed with outstanding reader reviews.

Already a bestseller in multiple countries.",Books,Educational,HarperCollins,11.76,,0,1,2023-02-16
233ea18b-ca97-4371-ba51-51731e512c3a,Apple Prime Prime5,"Experience cutting-edge technology with the Apple Prime Prime5.

Key Features:
  - Advanced connectivity options including WiFi 6 and Bluetooth 5.3.
  - Intuitive user interface with customizable settings.
  - Advanced cooling system for sustained performance.
  - Equipped with the latest processor for seamless multitasking.
  - Premium build quality with aerospace-grade materials.

Designed with the modern user in mind, it combines powerful performance with an intuitive interface.

Order today and experience the difference.",Electronics,Smartphones,Apple,175.72,,0,2,2025-10-20
22389617-c344-498d-afbf-4ce3e3535610,Apple X15 Smartphone,"The Apple X15 Smartphone delivers exceptional performance for all your needs.

Key Features:
  - Advanced connectivity options including WiFi 6 and Bluetooth 5.3.
  - Intuitive user interface with customizable settings.
  - Premium build quality with aerospace-grade materials.
  - Enhanced security features including biometric authentication.
  - Sleek, lightweight design for maximum portability.
  - Features a high-resolution display with vivid color accuracy.

Designed with the modern user in mind, it combines powerful performance with an intuitive interface.

Additional Details:
  - Slim and portable form factor for easy travel.
  - Long battery life for all-day usage.
  - Connectivity: USB-C, HDMI, WiFi 6, Bluetooth.

Backed by a comprehensive warranty and dedicated support.",Electronics,Smartphones,Apple,457.39,,0,1,2023-11-05
6efab8db-f0a2-4fd3-acb9-d94610c2b4a1,Spalding Z15 Cycling,"Engineered for peak performance in any condition.

Key Features:
  - Reflective elements enhance visibility in low light.
  - Ergonomic design reduces fatigue during extended use.
  - Lightweight design for effortless portability.
  - Weather-resistant materials keep you protected.
  - Durable construction withstands the toughest conditions.

Additional Details:
  - Weight: {weight_g}g
  - Material: {material_quality} {material}
  - Capacity: {capacity_l}L

Trusted by athletes and adventurers worldwide.",Sports & Outdoors,Cycling,Spalding,49.61,5.0,1,1248,2025-05-16
f5734c2a-c309-42c2-9f79-55b3be36c25a,Apple Air11 Ultrabook,"Upgrade your setup with the powerful Apple Air11 Ultrabook.

Key Features:
  - Sleek, lightweight design for maximum portability.
  - Equipped with the latest processor for seamless multitasking.
  - Intuitive user interface with customizable settings.
  - Advanced cooling system for sustained performance.
  - Long-lasting battery designed for all-day productivity.

Designed with the modern user in mind, it combines powerful performance with an intuitive interface.

Additional Details:
  - Slim and portable form factor for easy travel.
  - High-resolution display with vivid color reproduction.

Elevate your daily experience with this premium device.",Electronics,Laptops,Apple,342.47,5.0,1,1,2026-04-01
89346311-6daa-4ff8-bc93-1872f795a3e4,Nike Gold-Plated Jewelry,"Elevate your wardrobe with the Nike Gold-Plated Jewelry.

Key Features:
  - Classic design that never goes out of style.
  - Reinforced stitching for enhanced durability.
  - Tailored fit that flatters every body type.
  - Breathable material keeps you comfortable all day.
  - Premium {material} fabric for lasting comfort.

From casual outings to formal occasions, this piece transitions effortlessly across settings.

Available in multiple colors to suit your style.",Clothing & Accessories,Jewelry,Nike,48.96,5.0,1,1,2025-07-22
b0198cad-0f24-44c7-90c5-88c2a4d7d331,Philips Air18 Fitness Tracker,"Upgrade your setup with the powerful Philips Air18 Fitness Tracker.

Key Features:
  - Intuitive user interface with customizable settings.
  - Features a high-resolution display with vivid color accuracy.
  - Advanced cooling system for sustained performance.
  - Supports high-resolution audio for immersive sound.
  - Equipped with the latest processor for seamless multitasking.
  - Premium build quality with aerospace-grade materials.

Whether you are working from home, gaming, or streaming, this device is built to handle it all with ease.

Backed by a comprehensive warranty and dedicated support.",Electronics,Wearables,Philips,53.71,,0,2,2025-06-28
17f2285d-1707-4b77-b944-6f7f3db9360b,KitchenAid Ultra-Soft Bedding,"The KitchenAid Ultra-Soft Bedding brings both style and function to your space.

Key Features:
  - Space-saving design fits perfectly in any room.
  - Crafted from premium {material} for lasting quality.
  - Dishwasher safe for effortless cleaning.
  - Ergonomic design for comfortable use.

Designed to enhance your living space while providing practical everyday functionality.

Additional Details:
  - Easy to clean and maintain.
  - Premium materials for lasting quality.

Designed for real life, built to last.",Home & Kitchen,Bedding,KitchenAid,21.98,,0,1,2023-11-27
a0faeb8b-2284-4f27-abe2-4dbed34bdcae,Cuisinart Denim Kitchenware,"Elevate your everyday living with the Cuisinart Denim Kitchenware.

Key Features:
  - Stackable design for efficient storage.
  - Ergonomic design for comfortable use.
  - Elegant finish adds a touch of sophistication.
  - Space-saving design fits perfectly in any room.

Designed to enhance your living space while providing practical everyday functionality.

Designed for real life, built to last.",Home & Kitchen,Kitchenware,Cuisinart,26.18,,0,1,2025-01-15
d4c82aec-8ebb-48be-8b4b-dc5dc3b7aef7,Pioneer and the sophisticated pioneer,"Dive into the captivating world of Pioneer and the sophisticated pioneer.

Key Features:
  - Includes exclusive content and illustrations.
  - Includes discussion questions for book clubs.
  - Gripping narrative that keeps you turning pages.
  - Award-winning author delivers another masterpiece.
  - Meticulously researched and expertly presented.
  - Perfect for book clubs and group discussions.

Whether you are a longtime fan or new to the genre, this book will captivate you from the first page.

Additional Details:
  - Expertly crafted with attention to every detail.
  - Available in multiple formats for your reading preference.
  - Critically acclaimed with outstanding reader reviews.

A must-read for fans of the genre.",Books,Children's Books,HarperCollins,9.13,,0,1,2025-03-11
227d2d69-694a-4953-a231-d1e78172d65e,Nike Air12 Crossbody Bag,"Designed for those who refuse to compromise on style.

Key Features:
  - Four-way stretch fabric for unrestricted movement.
  - Moisture-wicking technology keeps you dry.
  - Premium {material} fabric for lasting comfort.
  - Tailored fit that flatters every body type.
  - Eco-friendly materials sourced sustainably.

From casual outings to formal occasions, this piece transitions effortlessly across settings.

Join thousands of satisfied customers worldwide.",Clothing & Accessories,Bags,Nike,33.15,3.5,2,1,2024-06-14
1f3a8b13-45cf-4478-90ae-b1cbea318130,Samsung Galaxy Book6,"Engineered for excellence, the Samsung Galaxy Book6 sets a new standard.

Key Features:
  - Sleek, lightweight design for maximum portability.
  - Intuitive user interface with customizable settings.
  - Supports high-resolution audio for immersive sound.
  - Features a high-resolution display with vivid color accuracy.
  - Premium build quality with aerospace-grade materials.

Whether you are working from home, gaming, or streaming, this device is built to handle it all with ease.

Additional Details:
  - High-resolution display with vivid color reproduction.
  - Long battery life for all-day usage.
  - Slim and portable form factor for easy travel.

Backed by a comprehensive warranty and dedicated support.",Electronics,Smartphones,Samsung,230.65,,0,12,2023-02-17
f6458376-2889-4221-b909-bdaf4cccc779,Wilson 55L Camping Gear,"Engineered for peak performance in any condition.

Key Features:
  - Lightweight design for effortless portability.
  - Durable construction withstands the toughest conditions.
  - Ergonomic design reduces fatigue during extended use.
  - Weather-resistant materials keep you protected.

Ready for wherever your journey takes you.",Sports & Outdoors,Camping Gear,Wilson,116.8,4.0,1,1,2026-02-11
35bf8754-29bb-463a-a710-839011ee78ab,Pyrex Premium Kitchenware,"Transform your home with the Pyrex Premium Kitchenware.

Key Features:
  - Crafted from premium {material} for lasting quality.
  - Space-saving design fits perfectly in any room.
  - Built to withstand daily use with durable construction.
  - Temperature resistant up to {temp_c} degrees.
  - Ergonomic design for comfortable use.

Designed to enhance your living space while providing practical everyday functionality.

Additional Details:
  - Premium materials for lasting quality.
  - Dimensions: perfectly sized for your space.
  - Easy to clean and maintain.

Make every day extraordinary.",Home & Kitchen,Kitchenware,Pyrex,54.98,4.3,6,1,2023-09-03
7ae6b7f0-2a30-496f-81dc-2229f4652ad5,Wilson 77L Camping Gear,"The Wilson 77L Camping Gear is built for those who push their limits.

Key Features:
  - Reinforced stress points for long-lasting durability.
  - Adjustable features for customized fit.
  - Compression-molded for compact storage.
  - Durable construction withstands the toughest conditions.
  - Quick-setup system saves time and hassle.
  - Lightweight design for effortless portability.

Ready for wherever your journey takes you.",Sports & Outdoors,Camping Gear,Wilson,42.09,4.0,2,1,2026-04-28
b73b38a1-df92-44b3-bfd8-e3189d42f74f,Apple X1 Activity Band,"The Apple X1 Activity Band delivers exceptional performance for all your needs.

Key Features:
  - Enhanced security features including biometric authentication.
  - Premium build quality with aerospace-grade materials.
  - Sleek, lightweight design for maximum portability.
  - Supports high-resolution audio for immersive sound.

Designed with the modern user in mind, it combines powerful performance with an intuitive interface.

Perfect for professionals and enthusiasts alike.",Electronics,Wearables,Apple,34.92,3.0,1,1,2026-03-08
356b91c4-74fa-4ed5-8a5c-6a6f740905ce,Apple Classic Over-Ear Headphones,"Experience cutting-edge technology with the Apple Classic Over-Ear Headphones.

Key Features:
  - Sleek, lightweight design for maximum portability.
  - Long-lasting battery designed for all-day productivity.
  - Intuitive user interface with customizable settings.
  - Premium build quality with aerospace-grade materials.
  - Equipped with the latest processor for seamless multitasking.

Designed with the modern user in mind, it combines powerful performance with an intuitive interface.

Additional Details:
  - Slim and portable form factor for easy travel.
  - Connectivity: USB-C, HDMI, WiFi 6, Bluetooth.

Elevate your daily experience with this premium device.",Electronics,Headphones,Apple,157.6,5.0,3,2,2023-01-24
4a1e79d7-75c8-4163-9612-e9e5e0decf49,Calvin Klein Pixel17 Running Shoes,"Elevate your wardrobe with the Calvin Klein Pixel17 Running Shoes.

Key Features:
  - Eco-friendly materials sourced sustainably.
  - Four-way stretch fabric for unrestricted movement.
  - Premium {material} fabric for lasting comfort.
  - Tailored fit that flatters every body type.
  - Reinforced stitching for enhanced durability.
  - Breathable material keeps you comfortable all day.

From casual outings to formal occasions, this piece transitions effortlessly across settings.

Additional Details:
  - Premium fabric construction for lasting wear.
  - Available in multiple sizes for the perfect fit.
  - Designed for comfort with a tailored silhouette.

Join thousands of satisfied customers worldwide.",Clothing & Accessories,Footwear,Calvin Klein,35.55,3.0,1,1,2025-07-10
b1a8533d-7d06-48ae-b1d2-02a39ad1c623,"Instant Pot 32"" Kitchenware Set","Elevate your everyday living with the Instant Pot 32"" Kitchenware Set.

Key Features:
  - Ergonomic design for comfortable use.
  - Versatile design complements any decor style.
  - Space-saving design fits perfectly in any room.
  - Built to withstand daily use with durable construction.
  - Temperature resistant up to {temp_c} degrees.

Designed to enhance your living space while providing practical everyday functionality.

Additional Details:
  - Dimensions: perfectly sized for your space.
  - Easy to clean and maintain.

Backed by our satisfaction guarantee.",Home & Kitchen,Kitchenware,Instant Pot,50.68,2.5,2,11,2025-03-01
453c2ed5-172f-4d33-87de-0dce637ee201,Corkcicle Premium Furniture,"Designed to make your home more beautiful and functional.

Key Features:
  - Easy to clean and maintain for everyday use.
  - Crafted from premium {material} for lasting quality.
  - Dishwasher safe for effortless cleaning.
  - Ergonomic design for comfortable use.
  - Versatile design complements any decor style.
  - Elegant finish adds a touch of sophistication.

Whether you are redecorating or just looking for that perfect finishing touch, this piece fits beautifully.

Designed for real life, built to last.",Home & Kitchen,Furniture,Corkcicle,176.92,,0,1,2023-10-15
31e0fdcb-41e0-43c9-bbf4-c5c76daa33aa,Hasbro Core Deluxe Sam,"Bring joy to playtime with the Hasbro Core Deluxe Sam.

Key Features:
  - Easy to learn, with endless replay value.
  - STEM-focused learning through play.
  - Safe, non-toxic materials certified for children.
  - Award-winning design loved by kids and parents.

Winner of multiple toy awards.",Toys & Games,Action Figures,Hasbro,52.63,,0,1,2025-10-10
d79fb878-dfb7-45b4-9d71-f14697dbddc7,Le Creuset Max Appliance,"Designed to make your home more beautiful and functional.

Key Features:
  - Ergonomic design for comfortable use.
  - Built to withstand daily use with durable construction.
  - Easy to clean and maintain for everyday use.
  - Temperature resistant up to {temp_c} degrees.
  - Dishwasher safe for effortless cleaning.

Whether you are redecorating or just looking for that perfect finishing touch, this piece fits beautifully.

Make every day extraordinary.",Home & Kitchen,Appliances,Le Creuset,74.96,,0,7,2023-05-19
15e13e8e-1781-4b75-8969-6f81e4059991,Introduction to Linear Algebra,"Discover the story behind Introduction to Linear Algebra.

Key Features:
  - Meticulously researched and expertly presented.
  - Includes exclusive content and illustrations.
  - Thought-provoking themes that resonate long after reading.
  - Beautifully written with vivid prose and memorable characters.
  - Award-winning author delivers another masterpiece.

Whether you are a longtime fan or new to the genre, this book will captivate you from the first page.

Additional Details:
  - Critically acclaimed with outstanding reader reviews.
  - Available in multiple formats for your reading preference.

Order your copy today and start reading.",Books,Educational,HarperCollins,8.65,,0,1,2023-11-07
db058a09-6fbc-4923-8eda-d73ec8d7511d,The World History: An Introduction for Beginners,"Dive into the captivating world of The World History: An Introduction for Beginners.

Key Features:
  - Award-winning author delivers another masterpiece.
  - Gripping narrative that keeps you turning pages.
  - Thought-provoking themes that resonate long after reading.
  - Includes discussion questions for book clubs.
  - Beautifully written with vivid prose and memorable characters.

Perfect for bedtime reading, book clubs, or casual enjoyment, this book offers something for everyone.

A must-read for fans of the genre.",Books,Non-Fiction,McGraw-Hill,10.83,,0,5,2026-03-29
e6838a70-dd74-4cab-97a6-88a7cec29978,Samsung Air Smartwatch,"The Samsung Air Smartwatch delivers exceptional performance for all your needs.

Key Features:
  - Equipped with the latest processor for seamless multitasking.
  - Features a high-resolution display with vivid color accuracy.
  - Enhanced security features including biometric authentication.
  - Supports high-resolution audio for immersive sound.
  - Advanced connectivity options including WiFi 6 and Bluetooth 5.3.

Whether you are working from home, gaming, or streaming, this device is built to handle it all with ease.

Additional Details:
  - Connectivity: USB-C, HDMI, WiFi 6, Bluetooth.
  - High-resolution display with vivid color reproduction.

Order today and experience the difference.",Electronics,Wearables,Samsung,140.36,,0,1,2025-07-15
fc85e6da-3f50-4390-b347-461412f7d6c3,Versatile of thunder,"Versatile of thunder is a compelling read you won't want to put down.

Key Features:
  - Features a foreword by a leading expert in the field.
  - Thought-provoking themes that resonate long after reading.
  - Comprehensive coverage of the subject matter.
  - Gripping narrative that keeps you turning pages.

Whether you are a longtime fan or new to the genre, this book will captivate you from the first page.

Already a bestseller in multiple countries.",Books,Fiction,Penguin Books,9.5,,0,1,2023-05-20
c7061993-5ae6-4ca2-a74e-bc902d61b78d,Le Creuset Non-Stick Kitchenware,"Designed to make your home more beautiful and functional.

Key Features:
  - Crafted from premium {material} for lasting quality.
  - Elegant finish adds a touch of sophistication.
  - Built to withstand daily use with durable construction.
  - Temperature resistant up to {temp_c} degrees.
  - Easy to clean and maintain for everyday use.

Designed to enhance your living space while providing practical everyday functionality.

Designed for real life, built to last.",Home & Kitchen,Kitchenware,Le Creuset,62.3,,0,2,2023-06-29
7b5c2f17-5333-488f-aa64-7fcb72accf4d,Cuisinart Premium Kitchenware,"The Cuisinart Premium Kitchenware brings both style and function to your space.

Key Features:
  - Space-saving design fits perfectly in any room.
  - Crafted from premium {material} for lasting quality.
  - Ergonomic design for comfortable use.
  - Stackable design for efficient storage.
  - Built to withstand daily use with durable construction.
  - Easy to clean and maintain for everyday use.

Whether you are redecorating or just looking for that perfect finishing touch, this piece fits beautifully.

Additional Details:
  - Dimensions: perfectly sized for your space.
  - Available in a variety of finishes.
  - Easy to clean and maintain.

Make every day extraordinary.",Home & Kitchen,Kitchenware,Cuisinart,56.75,5.0,1,1,2023-11-17
6e9b539a-77ad-4307-acb5-f558f8b5cc6f,Apple Accessorie Stand,"Experience cutting-edge technology with the Apple Accessorie Stand.

Key Features:
  - Supports high-resolution audio for immersive sound.
  - Advanced connectivity options including WiFi 6 and Bluetooth 5.3.
  - Sleek, lightweight design for maximum portability.
  - Enhanced security features including biometric authentication.

Whether you are working from home, gaming, or streaming, this device is built to handle it all with ease.

Additional Details:
  - Connectivity: USB-C, HDMI, WiFi 6, Bluetooth.
  - Long battery life for all-day usage.
  - High-resolution display with vivid color reproduction.

Perfect for professionals and enthusiasts alike.",Electronics,Accessories,Apple,70.02,4.1,49,1,2023-03-29
4ebe94fb-6705-4f36-96df-cb464c559568,L'Oreal Bloom Cologne,"Nourish and pamper yourself with the L'Oreal Bloom Cologne.

Key Features:
  - Cruelty-free and never tested on animals.
  - Antioxidant-rich formula protects against environmental damage.
  - Dermatologist-tested and suitable for all skin types.
  - Clinically proven results with regular use.

Additional Details:
  - Volume: {volume_ml}ml
  - Ingredients: {ingredient_highlight}
  - Shelf life: {shelf_life}m

Your skin deserves the best.",Beauty & Personal Care,Fragrance,L'Oreal,42.49,4.6,7,9,2023-08-16
81551ffe-b19f-48da-9da3-e1084975e33b,Bosch Professional Tools & Equipment,"Keep your vehicle running at its best with Bosch Professional Tools & Equipment.

Key Features:
  - Exceeds OEM specifications for quality and performance.
  - Tested for quality and reliability.
  - Professional-grade formula for superior results.
  - Quick-drying formula saves time.
  - Compatible with all major vehicle makes and models.
  - Long-lasting protection against the elements.

Additional Details:
  - Temperature range: {temp_range}
  - Compatibility: {compat_info}
  - Application: {app_method}

Professional quality at an affordable price.",Automotive,Tools & Equipment,Bosch,37.6,4.0,1,1,2024-12-13
ba4159d2-b0ed-4c0e-bb3e-0ddb55c60848,ASUS Galaxy11 Pro 5G,"Upgrade your setup with the powerful ASUS Galaxy11 Pro 5G.

Key Features:
  - Intuitive user interface with customizable settings.
  - Sleek, lightweight design for maximum portability.
  - Advanced connectivity options including WiFi 6 and Bluetooth 5.3.
  - Equipped with the latest processor for seamless multitasking.
  - Premium build quality with aerospace-grade materials.
  - Long-lasting battery designed for all-day productivity.

Whether you are working from home, gaming, or streaming, this device is built to handle it all with ease.

Elevate your daily experience with this premium device.",Electronics,Smartphones,ASUS,44.71,,0,3,2023-01-10
0540ebea-e3f5-484b-9c62-2f6f575c73a9,Wilson Premium Fitness Equipment,"The Wilson Premium Fitness Equipment is built for those who push their limits.

Key Features:
  - Ergonomic design reduces fatigue during extended use.
  - Adjustable features for customized fit.
  - Ventilated design for breathability.
  - Quick-setup system saves time and hassle.
  - Compression-molded for compact storage.

Additional Details:
  - Material: {material_quality} {material}
  - Capacity: {capacity_l}L

Ready for wherever your journey takes you.",Sports & Outdoors,Fitness Equipment,Wilson,53.33,,0,1,2023-12-25
2cef5320-bda8-498e-8db2-4881938dadc8,Garnier Cascade Eau de Parfum,"Reveal your natural beauty with the Garnier Cascade Eau de Parfum.

Key Features:
  - Clinically proven results with regular use.
  - Dermatologist-tested and suitable for all skin types.
  - Delicate fragrance that lingers throughout the day.
  - Antioxidant-rich formula protects against environmental damage.
  - Cruelty-free and never tested on animals.
  - Suitable for sensitive skin.

Additional Details:
  - Ingredients: {ingredient_highlight}
  - Shelf life: {shelf_life}m

See the difference with every use.",Beauty & Personal Care,Fragrance,Garnier,25.68,,0,44,2024-01-27
bcdc00ff-c173-40aa-9371-c06827f80868,Nike Womenswear Dress,"Designed for those who refuse to compromise on style.

Key Features:
  - Easy care fabric - machine washable.
  - Four-way stretch fabric for unrestricted movement.
  - Moisture-wicking technology keeps you dry.
  - Eco-friendly materials sourced sustainably.
  - Versatile design transitions seamlessly from day to night.

Crafted with attention to detail, it offers the perfect balance of style and practicality.

Additional Details:
  - Designed for comfort with a tailored silhouette.
  - Available in multiple sizes for the perfect fit.

Experience the perfect blend of style and comfort.",Clothing & Accessories,Womenswear,Nike,62.74,,0,6,2026-04-25
